page,rank,total_requests,num_domains,page_weight,has_analytics,has_advertising,has_cmp,tech_count,cmp_name
https://www.flashback.org/,5000,32,10,1338100,1.0,1.0,0.0,13.0,none
https://www.flashscore.co.id/,5000,404,12,2458036,1.0,1.0,1.0,15.0,OneTrust
https://www.flashscore.co.uk/,5000,184,19,2790397,1.0,1.0,1.0,13.0,OneTrust
https://www.flashscore.co/,5000,220,16,2718773,1.0,1.0,1.0,15.0,OneTrust
https://www.flashscore.com.ng/,5000,326,21,3028657,1.0,1.0,1.0,18.0,OneTrust
https://www.flashscore.com.tr/,5000,610,130,2676677,1.0,1.0,1.0,13.0,OneTrust
https://www.flashscore.com.ua/,5000,253,19,2984983,1.0,1.0,1.0,13.0,OneTrust
https://www.flashscore.com.ve/,5000,231,13,2601261,1.0,1.0,1.0,15.0,OneTrust
https://www.flashscore.es/,5000,221,14,2374154,1.0,1.0,1.0,15.0,OneTrust
https://www.flashscore.gr/,5000,432,12,2640401,1.0,1.0,1.0,13.0,OneTrust
https://www.flashscore.in/,5000,197,19,2699332,1.0,1.0,1.0,15.0,OneTrust
https://www.flashscore.pe/,5000,252,19,3596013,1.0,1.0,1.0,17.0,OneTrust
https://www.flashscore.pt/,5000,236,17,2509232,1.0,1.0,1.0,13.0,OneTrust
https://www.flashscore.ro/,5000,233,16,2565398,1.0,1.0,1.0,12.0,OneTrust
https://www.flashscore.sk/,5000,240,16,2583232,1.0,1.0,1.0,16.0,OneTrust
https://www.flashscore.ua/,5000,221,19,2658047,1.0,1.0,1.0,13.0,OneTrust
https://www.flashscorekz.com/,5000,338,18,2983985,1.0,1.0,1.0,13.0,OneTrust
https://www.flickr.com/,5000,86,10,3731120,1.0,1.0,0.0,16.0,none
https://www.flightaware.com/,5000,332,70,4738794,1.0,1.0,1.0,33.0,OneTrust
https://www.flightradar24.com/,5000,800,147,28033753,1.0,1.0,1.0,27.0,OneTrust
https://www.fnn.jp/,5000,593,190,2062352,1.0,1.0,1.0,33.0,Funding Choices
https://www.fontanka.ru/,5000,378,82,10646124,1.0,1.0,0.0,21.0,none
https://www.fool.com/,5000,284,78,2688869,1.0,1.0,1.0,35.0,OneTrust
https://www.footmercato.net/,5000,556,139,1204949,1.0,1.0,1.0,21.0,Didomi
https://www.foreca.fi/,5000,54,10,1288859,1.0,1.0,0.0,10.0,none
https://www.forexfactory.com/,5000,158,17,1838301,1.0,1.0,0.0,16.0,none
https://www.formula1.com/,5000,107,15,2465892,1.0,1.0,0.0,21.0,none
https://www.fortnite.com/,5000,74,8,5231351,0.0,0.0,0.0,11.0,none
https://www.forumsemut.com/,5000,47,11,7869948,1.0,0.0,0.0,15.0,none
https://www.fotocasa.es/,5000,123,26,2013623,1.0,1.0,1.0,21.0,Didomi
https://www.fotogramas.es/,5000,103,9,2449531,0.0,1.0,1.0,21.0,OneTrust
https://www.fotomac.com.tr/,5000,717,167,3630568,0.0,0.0,0.0,0.0,none
https://www.fotor.com/,5000,92,22,2446057,1.0,1.0,0.0,25.0,none
https://www.fpo.xxx/,5000,45,11,1035782,1.0,1.0,0.0,11.0,none
https://www.fr.de/,5000,934,207,4323906,1.0,1.0,0.0,27.0,none
https://www.fragrantica.com/,5000,133,9,2882247,1.0,0.0,0.0,17.0,none
https://www.france.tv/,5000,140,26,1684085,1.0,1.0,1.0,13.0,Didomi
https://www.francebleu.fr/,5000,91,6,1532345,1.0,0.0,0.0,11.0,none
https://www.fravega.com/,5000,282,77,3169893,1.0,1.0,0.0,30.0,none
https://www.freegames.com/,5000,161,16,2256286,1.0,1.0,1.0,11.0,Funding Choices
https://www.freejobalert.com/,5000,659,151,2654939,1.0,1.0,0.0,21.0,none
https://www.friv.com/,5000,122,13,1667186,1.0,1.0,1.0,11.0,Funding Choices
https://www.fsiblog3.club/,5000,176,7,2817492,1.0,0.0,0.0,21.0,none
https://www.ft.com/,5000,138,18,1642518,1.0,1.0,0.0,19.0,none
https://www.fullhdfilmizlesene.de/,5000,52,4,898079,1.0,0.0,0.0,9.0,none
https://www.funda.nl/,5000,70,23,6349472,1.0,0.0,1.0,24.0,Didomi
https://www.fussball.de/,5000,1323,233,10478935,1.0,1.0,1.0,34.0,Usercentrics
