url,domain,cmp_detected,tracker_count,non_essential_cookies_before_interaction,long_lived_cookies_count,has_privacy_policy,is_hosting,uses_major_cloud_cdn,reject_works
https://gala.fr,gala.fr,none,25.0,4.0,1.0,True,False,True,False
https://wickes.co.uk,wickes.co.uk,onetrust,33.0,17.0,5.0,True,True,False,False
https://my-personaltrainer.it,my-personaltrainer.it,cookiebot,23.0,5.0,0.0,True,True,False,False
https://fca.org.uk,fca.org.uk,none,8.0,1.0,0.0,True,True,True,True
https://flashscore.co.uk,flashscore.co.uk,onetrust,13.0,2.0,0.0,True,False,False,False
https://destatis.de,destatis.de,none,4.0,2.0,0.0,True,True,False,True
https://decathlon.it,decathlon.it,didomi,7.0,4.0,0.0,True,True,True,True
https://bl.uk,bl.uk,none,8.0,0.0,0.0,True,True,True,True
https://leggo.it,leggo.it,osano,37.0,1.0,0.0,True,True,True,False
https://bonprix.de,bonprix.de,none,7.0,7.0,0.0,True,True,False,True
https://ibtimes.co.uk,ibtimes.co.uk,none,9.0,2.0,0.0,True,True,False,False
https://lefrecce.it,lefrecce.it,axeptio,17.0,4.0,0.0,True,False,True,True
https://cic.fr,cic.fr,commanders act,6.0,8.0,3.0,True,False,False,True
https://easybell.de,easybell.de,none,4.0,0.0,0.0,True,False,False,True
https://dailystar.co.uk,dailystar.co.uk,cookie notice,30.0,6.0,1.0,True,True,False,False
https://realtimetrains.co.uk,realtimetrains.co.uk,none,17.0,4.0,2.0,True,False,False,False
https://nottingham.ac.uk,nottingham.ac.uk,onetrust,15.0,0.0,0.0,True,False,False,False
https://conforama.fr,conforama.fr,onetrust,14.0,16.0,1.0,True,True,True,False
https://orizzontescuola.it,orizzontescuola.it,none,12.0,1.0,0.0,True,True,True,False
https://unipd.it,unipd.it,cookiebot,16.0,3.0,1.0,True,False,False,False
https://roman.co.uk,roman.co.uk,onetrust,15.0,4.0,1.0,True,True,True,True
https://rugbyrama.fr,rugbyrama.fr,didomi,19.0,4.0,2.0,False,False,False,False
https://turfomania.fr,turfomania.fr,none,31.0,3.0,0.0,True,True,True,False
https://madisoft.it,madisoft.it,none,3.0,0.0,0.0,True,True,False,False
https://nice.org.uk,nice.org.uk,none,8.0,0.0,0.0,True,True,False,True
https://inews.co.uk,inews.co.uk,trustarc,24.0,9.0,6.0,False,True,False,False
https://metoffice.gov.uk,metoffice.gov.uk,none,6.0,0.0,0.0,True,False,True,True
https://fantacalcio.it,fantacalcio.it,none,26.0,8.0,2.0,True,True,False,False
https://tuttocampo.it,tuttocampo.it,none,28.0,4.0,3.0,True,True,False,False
https://lidl.it,lidl.it,onetrust,6.0,1.0,0.0,True,False,True,True
https://zone-turf.fr,zone-turf.fr,didomi,19.0,2.0,0.0,True,True,False,False
https://bricodepot.fr,bricodepot.fr,didomi,14.0,14.0,1.0,True,False,False,False
https://ihk.de,ihk.de,cookiebot,6.0,1.0,0.0,True,True,False,True
https://service-public.gouv.fr,service-public.gouv.fr,none,5.0,4.0,1.0,True,False,False,True
https://pinterest.de,pinterest.de,none,12.0,6.0,1.0,True,True,True,True
https://nirvam.it,nirvam.it,none,8.0,0.0,0.0,True,False,False,False
https://wbs-law.de,wbs-law.de,usercentrics,29.0,12.0,0.0,True,False,False,False
https://st-andrews.ac.uk,st-andrews.ac.uk,cookie notice,22.0,3.0,0.0,False,False,False,False
https://francetravail.fr,francetravail.fr,none,6.0,6.0,4.0,False,False,False,True
https://vogue.co.uk,vogue.co.uk,onetrust,12.0,2.0,0.0,True,True,False,False
https://dg-datenschutz.de,dg-datenschutz.de,none,1.0,6.0,0.0,True,True,False,True
https://gdatasecurity.de,gdatasecurity.de,none,7.0,2.0,1.0,True,False,False,True
https://citizensadvice.org.uk,citizensadvice.org.uk,none,2.0,1.0,0.0,True,True,False,True
https://liverpoolecho.co.uk,liverpoolecho.co.uk,cookie notice,29.0,6.0,1.0,True,True,False,False
https://hse.gov.uk,hse.gov.uk,none,11.0,1.0,0.0,True,True,True,False
https://nationaltrust.org.uk,nationaltrust.org.uk,none,3.0,8.0,0.0,True,True,False,True
https://vodafone.it,vodafone.it,none,13.0,10.0,0.0,True,True,False,False
https://uni-bremen.de,uni-bremen.de,none,2.0,0.0,0.0,True,False,False,True
https://rai.it,rai.it,none,6.0,2.0,0.0,False,False,False,False
https://dailyrecord.co.uk,dailyrecord.co.uk,cookie notice,29.0,6.0,1.0,True,True,False,False
https://keymachine.de,keymachine.de,none,5.0,1.0,0.0,True,True,False,True
https://aok.de,aok.de,none,4.0,1.0,0.0,True,False,False,True
https://polimi.it,polimi.it,klaro,11.0,2.0,1.0,True,False,False,True
https://exeter.ac.uk,exeter.ac.uk,onetrust,18.0,5.0,1.0,True,True,False,False
https://paginegialle.it,paginegialle.it,iubenda,27.0,4.0,3.0,True,True,False,False
https://doctolib.de,doctolib.de,didomi,8.0,4.0,1.0,True,True,False,False
https://santander.co.uk,santander.co.uk,onetrust,6.0,0.0,0.0,True,False,False,False
https://qmul.ac.uk,qmul.ac.uk,none,27.0,26.0,2.0,True,True,False,False
https://manomano.fr,manomano.fr,didomi,13.0,8.0,0.0,True,True,False,True
https://pinterest.fr,pinterest.fr,none,11.0,6.0,1.0,True,True,True,True
https://walesonline.co.uk,walesonline.co.uk,cookie notice,27.0,6.0,1.0,True,True,False,False
https://bath.ac.uk,bath.ac.uk,none,11.0,0.0,0.0,True,False,False,True
https://allianz.de,allianz.de,onetrust,3.0,2.0,0.0,True,True,False,False
https://zdfheute.de,zdfheute.de,none,5.0,2.0,0.0,True,False,False,False
https://bristol.ac.uk,bristol.ac.uk,none,10.0,3.0,0.0,True,False,False,False
https://adg.de,adg.de,usercentrics,8.0,0.0,0.0,True,False,False,True
https://southampton.ac.uk,southampton.ac.uk,none,6.0,0.0,0.0,True,False,False,True
https://mind.org.uk,mind.org.uk,onetrust,12.0,4.0,0.0,True,True,True,True
https://surrey.ac.uk,surrey.ac.uk,none,1.0,1.0,0.0,True,False,False,True
https://sante.fr,sante.fr,none,3.0,9.0,1.0,True,True,False,True
https://gq-magazine.co.uk,gq-magazine.co.uk,onetrust,10.0,2.0,0.0,True,True,False,False
https://ionos.fr,ionos.fr,none,13.0,7.0,0.0,False,True,False,False
https://bonusprint.co.uk,bonusprint.co.uk,none,11.0,8.0,0.0,True,True,False,False
https://bris.ac.uk,bris.ac.uk,none,12.0,5.0,0.0,True,False,False,False
https://data.gov.uk,data.gov.uk,none,2.0,1.0,0.0,True,True,True,True
https://capital.fr,capital.fr,sourcepoint,11.0,4.0,1.0,True,True,False,False
https://arcor.de,arcor.de,none,10.0,7.0,0.0,True,True,False,False
https://ee.co.uk,ee.co.uk,onetrust,12.0,12.0,1.0,True,True,False,False
https://elle.fr,elle.fr,didomi,16.0,5.0,4.0,True,True,False,False
https://ncsc.gov.uk,ncsc.gov.uk,cookiebot,6.0,0.0,0.0,True,True,False,False
https://tim.it,tim.it,onetrust,21.0,9.0,3.0,True,True,False,False
https://barclays.co.uk,barclays.co.uk,none,6.0,2.0,0.0,True,False,True,False
https://fasthosts.co.uk,fasthosts.co.uk,none,11.0,10.0,1.0,True,True,False,True
https://birminghammail.co.uk,birminghammail.co.uk,cookie notice,28.0,6.0,1.0,True,True,False,False
https://checkdomain.de,checkdomain.de,none,6.0,6.0,0.0,True,True,False,True
https://visualsoft.co.uk,visualsoft.co.uk,none,36.0,2.0,0.0,True,True,False,False
https://uniroma1.it,uniroma1.it,none,6.0,3.0,1.0,False,False,False,True
https://kaufda.de,kaufda.de,usercentrics,15.0,2.0,0.0,True,True,False,True
https://latribune.fr,latribune.fr,didomi,10.0,3.0,1.0,True,True,True,False
https://senat.fr,senat.fr,none,4.0,2.0,1.0,True,False,False,True
https://ticketmaster.co.uk,ticketmaster.co.uk,onetrust,10.0,9.0,0.0,True,True,True,False
https://o2online.de,o2online.de,usercentrics,12.0,5.0,1.0,True,True,False,True
https://stepstone.de,stepstone.de,none,13.0,9.0,1.0,True,True,False,True
https://kinepolis.fr,kinepolis.fr,none,14.0,9.0,0.0,True,False,True,True
https://le.ac.uk,le.ac.uk,none,13.0,1.0,1.0,True,False,False,True
https://lafeltrinelli.it,lafeltrinelli.it,onetrust,31.0,17.0,1.0,True,False,True,False
https://ademe.fr,ademe.fr,none,10.0,4.0,1.0,True,True,True,True
https://sonnen.de,sonnen.de,usercentrics,19.0,2.0,0.0,True,True,False,True
https://lse.co.uk,lse.co.uk,none,31.0,5.0,3.0,True,True,True,False
