page,rank,total_requests,num_domains,page_weight
https://simpcity.su/,1000,106,10,8567984
https://skipthegames.com/,1000,43,2,444592
https://snapinsta.app/,1000,830,179,2163327
https://snaptik.app/,1000,964,194,1842522
https://spankbang.com/,1000,407,34,21753848
https://spankbang.party/,1000,337,35,23920929
https://sportowefakty.wp.pl/,1000,81,7,1309541
https://sports.yahoo.co.jp/,1000,434,28,14637322
https://sso.acesso.gov.br/,1000,66,8,1747947
https://stackoverflow.com/,1000,70,8,994341
https://steamcommunity.com/,1000,115,7,7687397
https://store.steampowered.com/,1000,156,5,7918924
https://support.google.com/,1000,70,13,886385
https://support.microsoft.com/,1000,117,15,4117446
https://suumo.jp/,1000,233,31,2699022
https://sxyprn.com/,1000,87,20,2622956
https://syosetu.org/,1000,465,152,1473798
https://telegram.org/,1000,43,1,1987504
https://tenki.jp/,1000,786,208,3801990
https://theqoo.net/,1000,41,8,557892
https://thisav.com/,1000,43,6,830137
https://thisvid.com/,1000,336,17,10521033
https://timesofindia.indiatimes.com/,1000,1264,258,5400113
https://tktube.com/,1000,54,12,1243554
https://tmohentai.com/,1000,170,32,7183225
https://tnresults.nic.in/,1000,10,2,130161
https://togetter.com/,1000,260,84,1411494
https://tools.usps.com/,1000,154,33,1922008
https://toyhou.se/,1000,16,4,462014
https://transit.yahoo.co.jp/,1000,98,14,982815
https://translate.google.com/,1000,41,6,1182355
https://trilltrill.jp/,1000,502,164,4684484
https://truyenfull.vn/,1000,68,14,2341087
https://truyenqqviet.com/,1000,3,2,27094
https://tsn.ua/,1000,49,12,772074
https://tubidy.cool/,1000,22,1,296728
https://tukif.com/,1000,178,12,1907765
https://tuoitre.vn/,1000,334,50,5959113
https://turbo.az/,1000,122,28,3622356
https://tvn24.pl/,1000,96,14,2682922
https://tw.news.yahoo.com/,1000,602,155,6121974
https://tw.stock.yahoo.com/,1000,710,166,9399122
https://tw.yahoo.com/,1000,858,169,5823471
https://ua.sinoptik.ua/,1000,828,175,2396967
https://udn.com/,1000,295,58,8188807
https://uidai.gov.in/,1000,8,1,52342
https://unifiedportal-mem.epfindia.gov.in/,1000,25,5,395639
https://uranai.nosv.org/,1000,159,18,1356953
https://vegamovies.vg/,1000,70,6,1438259
https://video.hnext.jp/,1000,235,32,12493063
https://visortmo.com/,1000,382,83,8456404
https://vk.com/,1000,133,13,3263743
https://vnexpress.net/,1000,675,169,6290747
https://w27.my-cima.net/,1000,18,3,1142364
https://weather.com/,1000,1261,224,5619252
https://web.facebook.com/,1000,32,3,258936
https://web.spaggiari.eu/,1000,34,4,892444
https://web.whatsapp.com/,1000,41,3,5511778
https://wiadomosci.onet.pl/,1000,73,22,1379686
https://wiadomosci.wp.pl/,1000,70,7,1658458
https://wol.jw.org/,1000,25,2,1800790
https://wordwall.net/,1000,85,10,1195134
https://wto.to/,1000,242,28,15970222
https://ww1.goojara.to/,1000,16,3,59101
https://www.1024tera.com/,1000,96,13,8408177
https://www.123-hd.com/,1000,65,9,1321371
https://www.1mg.com/,1000,223,84,3158283
https://www.20minutos.es/,1000,117,34,1974315
https://www.24h.com.vn/,1000,696,177,4456585
https://www.3bmeteo.com/,1000,81,16,1261152
https://www.52shuku.vip/,1000,4,1,17718
https://www.69shuba.pro/,1000,11,4,206975
https://www.aajtak.in/,1000,1055,186,3797643
https://www.abplive.com/,1000,1421,258,4890465
https://www.absher.sa/,1000,16,1,219078
https://www.accuweather.com/,1000,109,22,1222899
https://www.action.com/,1000,93,30,1834367
https://www.ad.nl/,1000,93,23,4314451
https://www.adobe.com/,1000,293,50,1992811
https://www.afreecatv.com/,1000,161,24,5257398
https://www.agoda.com/,1000,133,11,5042783
https://www.ajio.com/,1000,625,38,17698649
https://www.amarujala.com/,1000,1109,236,3833363
https://www.amazon.ca/,1000,11,3,74331
https://www.amazon.co.jp/,1000,316,46,3300815
https://www.amazon.co.uk/,1000,218,7,2827503
https://www.amazon.com.br/,1000,185,51,1089161
https://www.amazon.com.mx/,1000,173,51,1124701
https://www.amazon.com.tr/,1000,354,10,5013056
https://www.amazon.com/,1000,11,3,75801
https://www.amazon.de/,1000,149,10,2163103
https://www.amazon.es/,1000,185,7,2469371
https://www.amazon.fr/,1000,300,10,3992299
https://www.amazon.in/,1000,406,58,5084494
https://www.amazon.it/,1000,185,10,3732503
https://www.ancestry.com/,1000,300,87,7036851
https://www.annunci69.it/,1000,82,14,5745498
https://www.apple.com/,1000,55,4,4861615
https://www.argos.co.uk/,1000,65,11,1528795
https://www.asos.com/,1000,180,44,3543897
https://www.avito.ru/,1000,487,100,4615038
https://www.avto.net/,1000,542,130,1351235
https://www.aznude.com/,1000,153,14,3939642
https://www.baidu.com/,1000,67,8,854401
https://www.bakecaincontrii.com/,1000,23,8,741481
https://www.bbc.com/,1000,521,137,6695421
https://www.bet365.com/,1000,9,3,339521
https://www.betway.co.za/,1000,299,54,4204507
https://www.bfmtv.com/,1000,482,127,3982869
https://www.biblegateway.com/,1000,1871,289,3544724
https://www.bilibili.com/,1000,164,10,1751585
https://www.bilibili.tv/,1000,144,10,3555321
https://www.bing.com/,1000,209,12,2781435
https://www.blic.rs/,1000,362,99,4130953
https://www.boatrace.jp/,1000,248,64,4341580
https://www.bol.com/,1000,81,7,2442576
https://www.booking.com/,1000,292,31,6460397
https://www.boyfriendtv.com/,1000,164,31,9420864
https://www.bt.dk/,1000,102,17,4016236
https://www.buienradar.nl/,1000,105,15,4686861
https://www.buzzfeed.com/,1000,1369,237,24548856
https://www.canva.com/,1000,143,36,1614193
https://www.carsensor.net/,1000,358,117,2968359
https://www.carwale.com/,1000,92,9,1371569
https://www.cdiscount.com/,1000,274,11,4020228
https://www.chess.com/,1000,66,9,1159233
https://www.cityheaven.net/,1000,109,24,808091
https://www.clarin.com/,1000,623,85,24092114
https://www.cmoa.jp/,1000,394,54,4998690
https://www.cnbcindonesia.com/,1000,264,68,4400519
https://www.cnn.com/,1000,579,208,11742376
https://www.cnnbrasil.com.br/,1000,186,31,2644280
https://www.coco.gg/,1000,69,11,990738
https://www.colaboraread.com.br/,1000,82,19,1250532
https://www.coolmathgames.com/,1000,925,171,3415921
https://www.corriere.it/,1000,247,46,4817149
https://www.costco.com/,1000,317,25,6065496
https://www.credit-agricole.fr/,1000,67,9,1798565
https://www.creditkarma.com/,1000,95,18,1237754
https://www.cricbuzz.com/,1000,154,35,4319628
https://www.cronista.com/,1000,115,35,1336033
https://www.croxyproxy.com/,1000,145,17,3006155
https://www.curseforge.com/,1000,138,16,2112392
https://www.dafont.com/,1000,165,47,1194965
https://www.dagbladet.no/,1000,167,39,2385774
https://www.daily.co.jp/,1000,931,219,4540417
https://www.dailymail.co.uk/,1000,1583,248,17027806
https://www.dailymotion.com/,1000,186,33,10517668
https://www.deviantart.com/,1000,90,8,3445509
https://www.diretta.it/,1000,311,14,2715023
https://www.discogs.com/,1000,172,60,7721665
https://www.disneyplus.com/,1000,59,9,5018773
https://www.dlsite.com/,1000,394,78,3537685
https://www.dmm.co.jp/,1000,121,68,1091254
https://www.dogdrip.net/,1000,62,13,767398
https://www.dzexams.com/,1000,70,10,952502
https://www.ebay.co.uk/,1000,87,9,1860921
